JOURNAL,2012,2013,2014,2015,2016,2017,2018,2019
ACTA CHIROPTEROLOGICA,0,0,0,0,0,0,1,0
ACTA ICHTHYOLOGICA ET PISCATORIA,0,0,0,1,0,0,0,0
ACTA SOCIETATIS BOTANICORUM POLONIAE,0,0,0,0,0,1,0,0
ADDICTION,0,1,0,0,0,0,0,0
ADDICTIVE BEHAVIORS,0,0,0,0,0,1,0,0
AFRICAN JOURNAL OF ECOLOGY,0,0,0,0,0,0,1,0
AFRICAN JOURNAL OF MARINE SCIENCE,0,1,1,1,0,0,0,0
AGRICULTURAL AND FOREST ENTOMOLOGY,0,0,0,0,0,1,0,0
AGRICULTURAL AND FOREST METEOROLOGY,0,0,0,0,0,0,1,0
AGRICULTURE ECOSYSTEMS & ENVIRONMENT,0,0,0,0,2,2,1,0
AGROFORESTRY SYSTEMS,0,0,0,1,0,0,0,0
AIDS,0,0,0,0,0,1,0,0
ALPHA-REVISTA DE ARTES LETRAS Y FILOSOFIA,0,0,0,0,0,0,1,0
AMERICAN JOURNAL OF BOTANY,0,0,0,0,1,1,1,1
AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,0,0,0,1,0,0,2,0
AMERICAN JOURNAL OF PRIMATOLOGY,0,0,0,1,0,0,1,0
AMERICAN JOURNAL OF TRANSPLANTATION,0,0,0,1,0,0,0,0
AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE,0,0,0,0,0,0,1,0
AMERICAN NATURALIST,0,0,0,1,1,0,0,0
ANIMAL BEHAVIOUR,0,0,1,1,5,4,0,0
ANNALES DE LIMNOLOGIE-INTERNATIONAL JOURNAL OF LIMNOLOGY,0,0,0,1,1,0,0,0
ANNALS OF APPLIED STATISTICS,0,0,0,0,0,1,0,0
ANNALS OF BOTANY,0,0,0,0,0,1,2,0
ANNALS OF FOREST SCIENCE,0,0,0,2,0,0,0,0
ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION VOL 5,0,0,0,0,0,0,1,0
AOB PLANTS,0,0,0,1,0,0,0,0
APPLIED ANIMAL BEHAVIOUR SCIENCE,0,0,0,0,0,0,1,0
APPLIED SOIL ECOLOGY,0,0,0,0,1,0,0,0
APPLIED VEGETATION SCIENCE,0,0,0,0,1,0,0,0
AQUACULTURE,0,0,0,0,1,0,1,0
AQUACULTURE ECONOMICS & MANAGEMENT,0,0,1,0,0,0,0,0
AQUATIC BOTANY,0,0,0,0,0,0,1,0
AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,0,0,0,0,1,0,0,0
AQUATIC LIVING RESOURCES,0,0,0,0,1,0,0,0
AQUATIC MAMMALS,0,0,0,1,0,0,0,0
AQUATIC TOXICOLOGY,0,0,0,0,0,1,0,0
ARCTIC ANTARCTIC AND ALPINE RESEARCH,0,0,0,0,0,0,1,0
ARDEOLA,0,0,0,0,0,1,0,0
ARTHROPOD-PLANT INTERACTIONS,0,0,0,1,0,1,3,0
ARTIFICIAL ORGANS,0,0,0,0,1,0,0,0
ASTA-ADVANCES IN STATISTICAL ANALYSIS,0,0,0,0,0,1,0,0
ASTROPHYSICAL JOURNAL,0,0,0,0,1,0,0,0
AUSTRAL ECOLOGY,0,0,0,0,0,1,1,0
AUSTRALIAN JOURNAL OF BOTANY,0,0,0,0,0,0,1,0
AVIAN CONSERVATION AND ECOLOGY,0,0,0,0,0,0,1,0
BASIC AND APPLIED ECOLOGY,0,0,0,0,1,0,1,0
BEHAVIOR GENETICS,0,0,0,0,0,1,0,0
BEHAVIORAL ECOLOGY,0,0,1,5,0,2,0,0
BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,0,0,1,2,1,1,6,0
BEHAVIOURAL PROCESSES,0,0,0,0,1,1,0,0
BIOCONTROL,0,0,0,0,1,1,0,0
BIODIVERSITY AND CONSERVATION,0,1,1,0,0,2,3,0
BIOLOGICAL CONSERVATION,0,0,0,2,2,4,2,0
BIOLOGICAL CONTROL,0,0,0,0,0,1,0,0
BIOLOGICAL INVASIONS,0,0,0,1,1,2,1,1
BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,0,0,1,0,0,0,1,0
BIOLOGY LETTERS,0,0,1,1,1,0,0,0
BIOMETRICAL JOURNAL,0,0,0,0,1,0,0,0
BIOMETRICS,0,1,1,0,0,0,0,0
BIOSTATISTICS,0,1,1,0,0,0,0,0
BIOTROPICA,0,0,0,0,0,2,0,0
BIRD CONSERVATION INTERNATIONAL,0,0,0,1,0,0,0,0
BIRD STUDY,0,0,0,0,0,2,2,0
BMC ECOLOGY,0,0,0,0,0,1,0,0
BMC EVOLUTIONARY BIOLOGY,0,0,0,1,0,0,0,0
BMC FAMILY PRACTICE,0,0,0,0,0,0,1,0
BMC MEDICAL RESEARCH METHODOLOGY,0,0,0,0,1,0,0,0
BOTANICAL JOURNAL OF THE LINNEAN SOCIETY,0,0,0,0,1,1,0,0
BOTANICAL SCIENCES,0,0,0,0,1,0,0,0
BRAZILIAN JOURNAL OF BIOLOGY,0,0,0,0,1,0,0,0
BULLETIN OF ENTOMOLOGICAL RESEARCH,0,0,1,0,0,0,0,0
BULLETIN OF MARINE SCIENCE,0,0,0,0,0,0,2,0
BULLETIN OF THE SEISMOLOGICAL SOCIETY OF AMERICA,0,0,0,0,0,1,0,0
CANADIAN ENTOMOLOGIST,0,0,0,0,0,1,0,0
CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,2,3,1,5,6,7,6,2
CANADIAN JOURNAL OF FOREST RESEARCH,0,0,0,0,0,0,0,1
CANADIAN JOURNAL OF LINGUISTICS-REVUE CANADIENNE DE LINGUISTIQUE,0,0,0,0,0,0,1,0
CANADIAN JOURNAL OF ZOOLOGY,0,0,1,0,3,1,0,0
CCAMLR SCIENCE,0,0,1,0,0,0,0,0
CELL,0,0,0,0,1,0,0,0
CHEMOSPHERE,0,0,0,0,0,1,0,0
CHILD DEVELOPMENT,0,0,0,0,1,0,0,0
CHILEAN JOURNAL OF AGRICULTURAL & ANIMAL SCIENCES,0,0,0,0,0,1,0,0
CLINICAL SCIENCE,0,0,0,1,0,0,0,0
COMMUNITY DENTAL HEALTH,0,0,0,0,0,0,1,0
CORAL REEFS,0,0,0,0,0,1,0,0
CRIMINAL JUSTICE AND BEHAVIOR,0,0,1,0,0,0,0,0
CURRENT BIOLOGY,0,0,0,0,1,1,0,0
CURRENT ZOOLOGY,0,0,0,0,0,1,0,1
DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS,0,0,0,0,1,0,0,0
DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY,0,0,1,0,3,2,0,0
DEPRESSION AND ANXIETY,0,0,0,0,0,0,1,0
DIVERSITY AND DISTRIBUTIONS,0,0,1,1,0,0,1,0
DIVERSITY-BASEL,0,0,0,0,0,1,1,0
ECOGRAPHY,0,0,0,1,0,2,0,0
ECOLOGICAL APPLICATIONS,0,1,0,2,1,2,1,0
ECOLOGICAL ENGINEERING,0,0,0,0,0,1,1,0
ECOLOGICAL ENTOMOLOGY,0,0,0,0,1,1,0,0
ECOLOGICAL INDICATORS,0,0,0,0,0,1,4,0
ECOLOGICAL MODELLING,0,0,1,0,1,0,0,0
ECOLOGICAL MONOGRAPHS,0,0,1,0,0,0,0,0
ECOLOGICAL RESEARCH,0,0,0,0,1,0,0,0
ECOLOGY,0,0,1,2,2,5,2,0
ECOLOGY AND EVOLUTION,0,1,1,1,2,4,2,0
ECOLOGY LETTERS,0,1,1,0,1,0,0,0
ECOSPHERE,0,0,0,3,3,3,1,0
ECOSYSTEMS,0,0,1,0,0,0,0,0
ELIFE,0,0,0,0,1,0,0,0
ENVIRONMENTAL AND ECOLOGICAL STATISTICS,0,1,0,1,1,1,0,0
ENVIRONMENTAL BIOLOGY OF FISHES,0,0,0,1,0,0,1,1
ENVIRONMENTAL CONSERVATION,0,1,0,0,0,0,0,0
ENVIRONMENTAL DEVELOPMENT,0,0,0,0,1,0,0,0
ENVIRONMENTAL ENTOMOLOGY,0,0,0,0,1,0,2,0
ENVIRONMENTAL MANAGEMENT,0,0,1,0,1,0,0,0
ENVIRONMENTAL MODELLING & SOFTWARE,0,0,0,0,0,0,0,1
ENVIRONMENTAL POLLUTION,0,0,0,0,0,0,1,0
ENVIRONMENTAL RESEARCH LETTERS,0,0,0,0,1,0,0,0
ENVIRONMENTAL SCIENCE & TECHNOLOGY,0,0,0,1,0,0,1,0
EPIDEMICS,0,0,1,0,0,0,0,0
ESTUARIES AND COASTS,0,0,0,0,0,0,1,0
ETHOLOGY,0,0,0,1,2,1,0,0
EUROPEAN JOURNAL OF SOIL BIOLOGY,0,0,0,0,0,1,0,0
EUROPEAN JOURNAL OF WILDLIFE RESEARCH,0,0,0,0,0,2,0,0
EVOLUTION,0,0,0,0,1,0,2,0
EVOLUTION LETTERS,0,0,0,0,0,1,2,0
EVOLUTIONARY APPLICATIONS,0,0,0,0,0,0,1,0
EVOLUTIONARY ECOLOGY,0,0,1,0,0,0,0,0
EVOLUTIONARY PSYCHOLOGY,0,0,0,0,0,0,1,0
FIRE ECOLOGY,0,0,0,0,0,1,0,0
FISH AND FISHERIES,0,1,0,0,0,1,1,0
FISHERIES MANAGEMENT AND ECOLOGY,0,0,1,0,1,0,0,0
FISHERIES OCEANOGRAPHY,0,0,2,1,0,1,1,0
FISHERIES RESEARCH,4,7,10,10,13,13,4,6
FISHERIES SCIENCE,0,0,0,0,0,1,0,0
FISHERY BULLETIN,0,0,0,0,1,2,0,0
FOLIA PRIMATOLOGICA,0,0,0,0,0,0,2,0
FOREST ECOLOGY AND MANAGEMENT,0,1,0,3,2,2,5,1
FOREST SCIENCE,0,0,1,0,0,0,0,0
FORESTRY,0,0,0,0,0,1,1,0
FORESTS,0,0,0,0,0,0,0,1
FRESHWATER BIOLOGY,0,0,0,1,1,0,0,0
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,0,0,0,0,1,0,0,0
FRONTIERS IN GENETICS,0,0,1,0,0,0,0,0
FRONTIERS IN MARINE SCIENCE,0,0,0,0,0,1,1,0
FRONTIERS IN MICROBIOLOGY,0,0,0,1,0,0,2,0
FRONTIERS IN NEUROSCIENCE,0,0,0,0,0,1,0,0
FRONTIERS IN PLANT SCIENCE,0,0,0,0,0,1,1,0
FRONTIERS IN PSYCHOLOGY,0,0,0,0,0,0,1,0
FRONTIERS IN VETERINARY SCIENCE,0,0,0,0,0,1,0,0
FRONTIERS IN ZOOLOGY,0,0,0,1,1,0,0,0
FUNCTIONAL ECOLOGY,0,0,0,0,0,0,1,0
FUNGAL ECOLOGY,0,0,0,0,1,0,0,0
GENETICS SELECTION EVOLUTION,0,0,0,1,0,0,0,0
GEODERMA,0,0,0,0,0,0,1,0
GLOBAL CHANGE BIOLOGY,0,0,0,2,2,2,4,1
GLOBAL CHANGE BIOLOGY BIOENERGY,0,0,0,1,0,0,0,0
GLOBAL ECOLOGY AND BIOGEOGRAPHY,0,0,0,0,1,0,0,0
GLOBAL ECOLOGY AND CONSERVATION,0,0,0,0,1,0,0,0
GRASS AND FORAGE SCIENCE,0,0,0,0,1,1,0,0
HEALTH & PLACE,0,0,1,0,0,0,1,0
HEREDITY,0,0,0,0,2,0,0,0
HERPETOLOGICA,0,0,0,0,0,1,0,0
HERPETOLOGICAL CONSERVATION AND BIOLOGY,0,0,0,0,1,0,0,0
HIV MEDICINE,0,0,0,0,0,0,1,0
HORMONES AND BEHAVIOR,0,0,0,0,1,0,1,0
HYDROBIOLOGIA,0,0,0,2,0,2,2,0
IBIS,0,0,0,1,0,0,1,0
ICES JOURNAL OF MARINE SCIENCE,1,1,5,13,4,4,4,0
IFOREST-BIOGEOSCIENCES AND FORESTRY,0,0,0,0,1,0,0,0
INDIAN JOURNAL OF FISHERIES,0,0,0,0,0,0,1,0
INSECT SCIENCE,0,0,0,0,0,0,0,1
INSECTS,0,0,0,0,0,1,0,0
INTERNATIONAL INTERACTIONS,0,0,0,0,0,0,1,0
INTERNATIONAL JOURNAL FOR PARASITOLOGY-PARASITES AND WILDLIFE,0,0,0,0,0,1,0,0
INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,0,0,0,0,0,0,1,0
INTERNATIONAL JOURNAL OF PRIMATOLOGY,0,0,0,0,0,1,0,0
INTERNATIONAL JOURNAL OF SPELEOLOGY,0,0,1,0,0,0,0,0
INTERNATIONAL JOURNAL OF WILDLAND FIRE,0,0,0,0,0,1,0,0
JOURNAL OF AFFECTIVE DISORDERS,0,0,0,0,1,0,0,0
JOURNAL OF ANIMAL ECOLOGY,0,1,0,1,0,0,2,0
JOURNAL OF APPLIED ECOLOGY,1,0,0,1,0,1,0,1
JOURNAL OF APPLIED ENTOMOLOGY,0,0,0,0,0,0,1,0
JOURNAL OF APPLIED ICHTHYOLOGY,0,0,0,0,0,0,1,0
JOURNAL OF APPLIED MICROBIOLOGY,0,0,0,0,0,1,0,0
JOURNAL OF APPLIED STATISTICS,0,0,0,0,0,1,0,0
JOURNAL OF ARID ENVIRONMENTS,0,0,0,0,0,0,0,1
JOURNAL OF AVIAN BIOLOGY,0,1,0,1,0,0,1,0
JOURNAL OF CHEMICAL ECOLOGY,0,0,1,0,1,0,0,0
JOURNAL OF CHILD LANGUAGE,0,0,0,0,0,0,1,0
JOURNAL OF COMMUNITY & APPLIED SOCIAL PSYCHOLOGY,0,0,0,0,1,0,0,0
JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS,0,0,0,0,0,1,0,0
JOURNAL OF ECOLOGY,0,0,1,0,1,1,0,1
JOURNAL OF ENVIRONMENTAL MANAGEMENT,0,0,0,0,0,0,2,0
JOURNAL OF ETHOLOGY,0,0,1,0,0,0,0,0
JOURNAL OF EVOLUTIONARY BIOLOGY,0,0,2,2,1,0,0,0
JOURNAL OF EXPERIMENTAL BIOLOGY,0,0,0,0,0,2,0,0
JOURNAL OF EXPERIMENTAL EDUCATION,0,0,0,0,1,0,0,0
JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,0,0,1,1,0,0,0,0
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION,0,0,1,0,0,0,0,0
JOURNAL OF EXPERIMENTAL ZOOLOGY PART A-ECOLOGICAL GENETICS AND PHYSIOLOGY,0,0,0,0,1,0,0,0
JOURNAL OF FIELD ORNITHOLOGY,0,1,2,0,0,0,0,0
JOURNAL OF FISH AND WILDLIFE MANAGEMENT,0,0,1,0,1,0,0,0
JOURNAL OF FISH BIOLOGY,0,1,0,0,0,2,3,0
JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,0,0,0,0,0,1,0,0
JOURNAL OF GREAT LAKES RESEARCH,1,1,2,0,1,0,0,0
JOURNAL OF HAZARDOUS MATERIALS,0,0,0,0,0,1,0,0
JOURNAL OF HEREDITY,0,1,0,0,0,0,1,0
JOURNAL OF HOSPITAL INFECTION,0,0,0,0,0,1,0,0
JOURNAL OF IMMUNOLOGY RESEARCH,0,0,0,1,0,0,0,0
JOURNAL OF INSECT CONSERVATION,0,1,1,0,1,0,0,0
JOURNAL OF MAMMALOGY,0,0,1,0,1,0,0,0
JOURNAL OF MEDICAL ENTOMOLOGY,0,0,0,0,0,1,1,0
JOURNAL OF MEDICAL INTERNET RESEARCH,0,0,0,0,1,0,0,0
JOURNAL OF NEUROPHYSIOLOGY,0,0,0,0,0,0,1,0
JOURNAL OF PARASITOLOGY,0,0,0,0,0,1,0,0
JOURNAL OF PEDIATRIC PSYCHOLOGY,0,0,0,0,0,1,0,0
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY B-BIOLOGY,0,0,0,0,0,0,1,0
JOURNAL OF PLANKTON RESEARCH,0,0,0,1,1,0,0,0
JOURNAL OF PLANT ECOLOGY,0,0,0,0,0,0,1,0
JOURNAL OF RAPTOR RESEARCH,0,0,0,0,1,0,0,0
JOURNAL OF SEA RESEARCH,0,1,0,0,0,0,0,0
JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,0,0,0,0,0,0,1,0
JOURNAL OF SPORTS SCIENCES,0,0,0,0,0,0,1,0
JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,0,0,0,0,1,0,0,0
JOURNAL OF STATISTICAL SOFTWARE,0,0,1,1,1,0,0,0
JOURNAL OF THE AMERICAN GERIATRICS SOCIETY,0,0,0,0,0,1,0,0
JOURNAL OF THE ROYAL SOCIETY INTERFACE,0,0,0,0,0,1,0,0
JOURNAL OF THE TORREY BOTANICAL SOCIETY,0,0,0,1,0,0,0,0
JOURNAL OF THEORETICAL BIOLOGY,0,0,0,0,1,0,0,0
JOURNAL OF TROPICAL ECOLOGY,0,0,0,0,1,0,0,0
JOURNAL OF VEGETATION SCIENCE,0,0,2,0,0,1,0,0
JOURNAL OF WILDLIFE DISEASES,0,0,0,0,0,0,1,0
JOURNAL OF WILDLIFE MANAGEMENT,0,1,0,1,3,1,0,0
JOURNAL OF ZOOLOGY,0,0,0,0,0,1,0,0
LANDSCAPE ECOLOGY,0,0,0,0,1,0,1,0
MALARIA JOURNAL,0,0,0,0,1,0,1,0
MARINE AND COASTAL FISHERIES,1,0,2,0,1,0,0,0
MARINE AND FRESHWATER RESEARCH,0,0,1,0,0,1,1,0
MARINE BIOLOGY,0,1,1,1,1,0,0,1
MARINE ECOLOGY PROGRESS SERIES,0,0,3,4,0,1,0,0
MARINE ENVIRONMENTAL RESEARCH,0,0,0,0,0,1,1,0
MARINE MAMMAL SCIENCE,0,0,1,0,0,0,0,0
MARINE ORNITHOLOGY,0,0,0,0,1,0,0,0
MARINE POLICY,0,0,0,0,1,1,0,0
MARINE POLLUTION BULLETIN,0,0,0,1,0,1,0,0
MEDICAL AND VETERINARY ENTOMOLOGY,0,0,0,0,0,1,1,0
METHODS IN ECOLOGY AND EVOLUTION,1,3,0,2,1,1,0,0
MICROBIAL ECOLOGY,0,0,0,0,0,1,0,0
MOLECULAR ECOLOGY,0,0,1,1,1,0,1,0
MOLECULAR ECOLOGY RESOURCES,0,0,0,1,0,0,0,0
NATURAL AREAS JOURNAL,0,0,0,0,0,0,1,0
NATURE,0,0,0,1,0,0,0,0
NATURE COMMUNICATIONS,0,0,0,0,1,2,1,0
NEW FORESTS,0,0,0,0,0,1,0,0
NEW PHYTOLOGIST,0,0,0,0,0,0,1,0
NEW ZEALAND JOURNAL OF ECOLOGY,0,0,0,0,0,0,1,0
NORTH AMERICAN JOURNAL OF FISHERIES MANAGEMENT,1,0,2,0,2,2,1,0
NORTHWEST SCIENCE,0,0,0,0,1,0,0,0
OCEAN & COASTAL MANAGEMENT,0,0,0,0,0,0,1,0
OCEAN SCIENCE JOURNAL,0,0,0,0,0,0,1,0
OECOLOGIA,0,0,0,2,2,3,3,0
OIKOS,0,0,0,0,1,0,0,0
ORNIS FENNICA,0,0,0,0,0,0,1,0
PAIN,0,0,0,0,0,0,1,0
PALAIOS,0,0,0,0,0,1,0,0
PARASITE,0,0,0,1,0,0,0,0
PARASITES & VECTORS,0,0,1,1,3,5,2,0
PARASITOLOGY,0,0,0,0,0,0,1,0
PEACE ECONOMICS PEACE SCIENCE AND PUBLIC POLICY,0,0,0,0,0,0,1,0
PEDOBIOLOGIA,0,0,0,0,0,1,0,0
PEERJ,0,0,1,1,0,1,3,0
PEST MANAGEMENT SCIENCE,0,0,0,0,0,2,0,0
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,0,0,0,0,0,1,1,0
PLANT BIOLOGY,0,0,0,0,1,0,1,0
PLANT CELL AND ENVIRONMENT,0,0,0,0,0,0,1,0
PLANT ECOLOGY,0,0,0,3,2,2,1,0
PLANT ECOLOGY & DIVERSITY,0,0,0,0,0,1,1,0
PLOS COMPUTATIONAL BIOLOGY,0,0,1,0,0,0,0,0
PLOS GENETICS,0,0,0,1,0,0,0,0
PLOS MEDICINE,0,0,0,0,0,1,0,0
PLOS NEGLECTED TROPICAL DISEASES,0,0,1,0,1,1,0,0
PLOS ONE,1,5,3,5,7,4,9,2
POLAR BIOLOGY,0,0,0,0,0,1,0,0
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0,0,0,0,2,0,0,0
PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,0,0,1,1,0,3,2,0
PROGRESS IN OCEANOGRAPHY,0,0,0,0,0,1,0,0
PSYCHIATRIC SERVICES,0,0,0,1,0,0,0,0
PSYCHOLOGICAL SCIENCE,0,0,0,0,0,1,0,0
PSYCHOLOGY OF ADDICTIVE BEHAVIORS,0,0,0,0,0,0,1,0
R JOURNAL,0,0,0,0,0,1,0,0
RADIOPROTECTION,0,0,0,0,0,0,1,0
RANGELAND JOURNAL,0,0,0,0,0,1,0,0
REMOTE SENSING,0,0,0,0,0,1,0,0
REMOTE SENSING OF ENVIRONMENT,0,0,0,1,0,0,0,0
RESTORATION ECOLOGY,0,0,0,0,1,0,1,0
RIVER RESEARCH AND APPLICATIONS,0,0,0,0,1,0,0,0
RLA-REVISTA DE LINGUISTICA TEORICA Y APLICADA,0,0,1,0,0,0,0,0
ROYAL SOCIETY OPEN SCIENCE,0,0,0,2,1,0,1,0
SCANDINAVIAN JOURNAL OF FOREST RESEARCH,0,0,0,0,0,0,2,1
SCIENCE OF THE TOTAL ENVIRONMENT,0,0,0,0,2,0,2,1
SCIENTIA HORTICULTURAE,0,0,0,0,0,1,0,0
SCIENTIFIC REPORTS,0,0,0,0,3,3,4,2
SCIENTIFICA,0,0,0,0,1,0,0,0
STATISTICAL METHODS IN MEDICAL RESEARCH,0,0,0,0,0,1,0,0
STATISTICS IN MEDICINE,0,0,0,0,3,0,0,0
STRAHLENTHERAPIE UND ONKOLOGIE,0,0,1,0,0,0,0,0
TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY,2,1,2,1,2,2,0,0
TRANSPORTATION,0,0,0,0,0,0,1,0
TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,0,0,0,0,0,3,0,0
TROPICAL CONSERVATION SCIENCE,0,0,0,0,0,1,0,0
URBAN FORESTRY & URBAN GREENING,0,0,0,0,1,0,1,0
VETERINARY PARASITOLOGY,0,0,0,0,1,1,0,0
VIRUSES-BASEL,0,0,0,0,0,1,0,0
WATERBIRDS,0,0,0,1,0,0,0,0
WILDLIFE RESEARCH,0,0,0,1,1,0,0,0
WILDLIFE SOCIETY BULLETIN,0,0,0,0,0,1,0,0
WILSON JOURNAL OF ORNITHOLOGY,0,1,0,0,0,0,1,0
ZOOKEYS,0,0,0,0,0,0,1,0
ZOOLOGY,0,0,0,0,1,1,0,0
